Tempo (s),Posição X (m),Posição Y (m)
3.8,0.18057,0.614645
3.82,0.179315,0.615368
3.84,0.180168,0.617797
3.85,0.178426,0.620481
3.87,0.178375,0.62236
3.89,0.177902,0.624999
3.9,0.177411,0.626396
3.92,0.177574,0.629716
3.94,0.17706,0.631267
3.95,0.17715,0.63422
3.97,0.176856,0.63578
3.99,0.177267,0.637984
4.0,0.17707,0.640699
4.02,0.177348,0.643303
4.04,0.177502,0.645678
4.05,0.177966,0.647774
4.07,0.178011,0.650484
4.09,0.178568,0.652253
4.1,0.179121,0.654738
4.12,0.181354,0.656478
4.14,0.181807,0.658694
4.15,0.18236,0.661128
4.17,0.182355,0.663704
4.19,0.182515,0.665216
4.2,0.182667,0.66634
4.22,0.182559,0.668011
4.24,0.182243,0.670101
4.25,0.182528,0.672685
4.27,0.18307,0.674793
4.29,0.183361,0.675869
4.3,0.183081,0.676886
4.32,0.182663,0.678559
4.34,0.1824,0.680845
4.35,0.182095,0.68318
4.37,0.182468,0.685171
4.39,0.182468,0.686093
4.4,0.182491,0.688255
4.42,0.18245,0.690297
4.44,0.182711,0.692667
4.45,0.183109,0.695001
4.47,0.183578,0.696426
4.49,0.183755,0.698481
4.5,0.183376,0.700927
4.52,0.183399,0.70322
4.54,0.183335,0.705432
4.55,0.183586,0.70697
4.57,0.183699,0.709103
4.59,0.183435,0.7109
4.6,0.183772,0.714387
4.62,0.18388,0.715879
4.64,0.183814,0.717758
4.65,0.18373,0.719575
4.67,0.183611,0.722428
4.69,0.183495,0.724746
4.72,0.182832,0.729239
4.79,0.183388,0.738449
4.82,0.183374,0.744491
4.84,0.183947,0.746308
4.85,0.183655,0.747258
4.87,0.183613,0.751171
4.89,0.183677,0.753937
4.9,0.183954,0.756309
4.92,0.183876,0.758099
4.94,0.184154,0.760541
4.95,0.183774,0.763264
4.97,0.184033,0.76509
4.99,0.184258,0.766695
5.0,0.184341,0.768965
5.02,0.183828,0.770712
5.04,0.184361,0.773997
5.07,0.184912,0.778239
