Tempo (s),Posição X (m),Posição Y (m)
4.01,0.086902,0.657182
4.03,0.087903,0.660203
4.04,0.087984,0.661528
4.06,0.089826,0.663424
4.08,0.089969,0.665139
4.09,0.088899,0.665778
4.11,0.090954,0.667798
4.13,0.091287,0.669899
4.14,0.091956,0.671056
4.16,0.092651,0.67321
4.18,0.093029,0.675097
4.19,0.093538,0.676164
4.21,0.094321,0.677359
4.23,0.09517,0.678692
4.24,0.095317,0.68157
4.26,0.095431,0.683104
4.28,0.09593,0.684921
4.29,0.096164,0.685863
4.31,0.096501,0.687221
4.33,0.097091,0.690362
4.34,0.097249,0.691569
4.36,0.097613,0.693758
4.38,0.098036,0.695311
4.39,0.098476,0.696057
4.41,0.10105,0.698392
4.43,0.100476,0.70017
4.44,0.100359,0.702841
4.46,0.101249,0.704822
4.48,0.099903,0.705774
4.49,0.102054,0.708029
4.51,0.101566,0.709839
4.53,0.10157,0.712511
4.54,0.102378,0.714955
4.56,0.101957,0.716077
4.58,0.102112,0.718123
4.59,0.101842,0.720096
4.61,0.101588,0.723071
4.63,0.102336,0.725202
4.64,0.101819,0.72639
4.66,0.102168,0.728299
4.68,0.102016,0.730533
4.69,0.101788,0.733504
4.71,0.102243,0.735312
4.73,0.101743,0.737058
4.74,0.102181,0.739471
4.76,0.101912,0.741921
4.78,0.102471,0.744594
4.79,0.102453,0.74565
4.81,0.102498,0.747699
4.83,0.102597,0.749696
4.84,0.102394,0.7523
4.86,0.103037,0.754939
4.88,0.103238,0.756175
4.89,0.103591,0.758044
4.91,0.104032,0.760213
4.93,0.10404,0.762701
4.94,0.104532,0.765008
4.96,0.104598,0.76643
4.98,0.105698,0.767709
4.99,0.105801,0.770532
5.01,0.105758,0.773254
5.03,0.106116,0.775249
5.04,0.106266,0.776325
5.06,0.107186,0.778567
5.08,0.10731,0.780787
5.09,0.10697,0.784221
5.11,0.107142,0.785638
5.13,0.107509,0.786996
5.14,0.108061,0.789676
