Tempo (s),X,Y,Z,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Total
1.5628378378378378,0.1653853918918919,0.2452389087837837,0.1039375945945946,0.04278779939472546,0.15187302421098137,0.011311214872460012,0.15819024888381572
1.5802027027027026,0.1654392094594594,0.2483888614864864,0.1035267736486486,0.0427683463035019,0.1529793914829226,0.011378346303501922,0.1592522917531298
1.5975675675675676,0.1651144864864865,0.2512002094594594,0.1029299729729729,0.042896990920882005,0.15342678555987896,0.011065875486381318,0.15969465851299913
1.6149324324324323,0.1648830912162162,0.2540240827702702,0.1018044527027027,0.042923916990920866,0.154101701253783,0.010278318201469959,0.16029797504711132
1.6322972972972971,0.1649051689189189,0.2571325236486487,0.1005070135135135,0.04290637699956769,0.15433851059230444,0.008877829658452224,0.1604373675255375
1.649662162162162,0.1643017398648648,0.2594374425675676,0.1006096317567567,0.04232792477302203,0.15425347600518813,0.008992263294422811,0.16020814234747865
1.6670270270270269,0.1641861351351351,0.2626332635135134,0.0996141621621621,0.04209809770860355,0.15501921746649372,0.008502689148292242,0.16085864396220578
1.684391891891892,0.1640564695945946,0.2659794881756757,0.0983155202702702,0.041841338089061854,0.1551367596195417,0.0075969779507133635,0.16085964637633102
1.7017567567567566,0.1636270878378378,0.2682212905405405,0.097731304054054,0.041478949416342406,0.1552220319930826,0.006796493731085189,0.16081223457119712
1.7191216216216216,0.163370956081081,0.2718704966216216,0.0973292297297297,0.041137961521833084,0.15609922503242546,0.006650194552529198,0.16156585351330308
1.7364864864864864,0.1632197837837838,0.2745624121621621,0.0965401351351351,0.04028645914396893,0.15614803718115003,0.006134042369217458,0.16137792532335965
1.7538513513513514,0.1628274594594594,0.2768964780405405,0.096134679054054,0.039123761348897536,0.1563452302204929,0.005708482490272355,0.16126712773261068
1.7712162162162162,0.1625581621621621,0.2797235878378378,0.0955409729729729,0.038772728058798105,0.1569134025075659,0.004920259403372202,0.16170760427456518
1.788581081081081,0.1623336554054054,0.2830971385135135,0.0954263648648648,0.03781830955469092,0.15689457090358844,0.004978549502810182,0.16146490910333272
1.805945945945946,0.1620026756756756,0.2852093445945945,0.0946755135135135,0.03698858625162124,0.15688908344141805,0.0043915348032858,0.16125019563991333
1.8233108108108107,0.1612274054054054,0.2883636959459459,0.0936499324324324,0.03621795719844363,0.15793243731085174,0.0035917509727626347,0.16207188483393642
1.840675675675676,0.1600896418918919,0.2910349155405405,0.0931954594594594,0.03518429312581063,0.15761646562905315,0.0026250583657587215,0.16151710637446764
1.8580405405405405,0.1598475878378378,0.2936070624999999,0.0929245675675675,0.034666054907047134,0.15778045503674876,0.002202498919152593,0.16155883868086812
1.8754054054054052,0.1602201081081081,0.2972614459459459,0.0923142162162162,0.03450128404669263,0.15854059230436662,0.0017829831387807956,0.16226101515140084
1.8927702702702704,0.1591992398648648,0.2999255574324324,0.0918918851351351,0.03344531128404671,0.1586331560743623,0.001741647211413777,0.16212988739898881
1.910135135135135,0.1589046486486486,0.3021187601351351,0.0909994054054054,0.03283804582792906,0.15878242758322525,0.0008231560743623272,0.16214460875694295
1.9275,0.1584212499999999,0.306064125,0.0902985,0.032299829226113234,0.15967721573713795,7.567228707312069e-05,0.16291131918898577
1.9448648648648648,0.1579554054054054,0.3091744391891892,0.0896491351351351,0.03142921314310425,0.1596965304798963,-0.0007503761348897444,0.16276160588558636
1.9622297297297295,0.1573503513513513,0.3112787601351351,0.0880601689189189,0.029668173367920447,0.15990892239515783,-0.0017719563337656708,0.16264748323235245
1.9795945945945943,0.1575190810810811,0.3152703175675675,0.0886278986486486,0.029129736273238248,0.1611709684392564,-0.001421007349762173,0.1637884057706292
1.9969594594594595,0.1572025067567567,0.3177195912162162,0.0883048141891891,0.02821366839602248,0.16077476221357545,-0.0018476675313446142,0.16324199559089822
2.014324324324324,0.1568992027027027,0.3205788986486486,0.0869645675675675,0.027757613488975385,0.1612981128404669,-0.0029826588845655267,0.1636962509238407
2.0316891891891893,0.1570805945945945,0.3240671030405406,0.0866815439189189,0.027465901426718543,0.16165231733679208,-0.0033706679636835036,0.16400368545876814
2.049054054054054,0.157025027027027,0.3272092195945946,0.0861448513513513,0.0267136273238219,0.16195001945525295,-0.0039039083441418203,0.16418485675211436
2.066418918918919,0.1564842804054054,0.3301558597972973,0.0859663378378378,0.02585208819714662,0.16256068201469953,-0.004185687418936464,0.16465669066395797
2.083783783783784,0.1564646756756756,0.3335192297297297,0.086075054054054,0.02537373973194981,0.16306902075226973,-0.00436653264159099,0.16508906324889902
2.101148648648649,0.1566463716216216,0.33645625,0.0856245608108108,0.025126076523994803,0.1630602031993083,-0.00473978599221791,0.16505276477581762
2.1185135135135136,0.1563042837837837,0.3394680101351351,0.0852453783783783,0.024524280155641977,0.16346785776048425,-0.0048793428447903645,0.16536924993647195
2.1358783783783784,0.1563912837837838,0.3424021328828829,0.0852175945945945,0.02363871162991788,0.16379832000288228,-0.004942451361867697,0.16556903740963605
2.153243243243243,0.1567592432432432,0.3452689256756757,0.0846468378378378,0.02245364461738002,0.1643831906614786,-0.0055711500216169725,0.16600312419112775
2.170608108108108,0.156309054054054,0.3486213986486486,0.0839185033783783,0.02186220925205358,0.16475961089494165,-0.006493294422827545,0.1663305397336721
2.187972972972973,0.1562570743243243,0.3515862263513513,0.0843326554054054,0.021239113705144877,0.16410277345438823,-0.006781374837872898,0.1656104080397548
2.205337837837838,0.1562517567567567,0.3542226891891892,0.083905527027027,0.02057099654128834,0.16437586035451796,-0.007093289018590525,0.16580984323944986
