Tempo (s),X,Y,Z
0.0,0.098515,0.007886,0.08626
0.017364864864864864,0.0985992195945946,0.009306880067567568,0.08574426351351352
0.03472972972972973,0.09807344594594594,0.011419023648648649,0.08563580405405406
0.05209459459459459,0.0977999695945946,0.013188113175675675,0.08574110810810812
0.06945945945945946,0.09784945945945946,0.015926459459459457,0.08663240540540541
0.08682432432432433,0.09815005743243244,0.01836427364864865,0.08655618243243243
0.10418918918918918,0.09839363513513515,0.020363364864864862,0.08632583783783784
0.12155405405405405,0.09866524324324324,0.023525890202702703,0.08644267567567568
0.13891891891891892,0.09880221621621621,0.02563442567567567,0.08710948648648649
0.15628378378378377,0.09907899324324324,0.027912721283783783,0.08693605405405407
0.17364864864864865,0.10025858108108109,0.030528351351351353,0.08695362162162162
0.1910135135135135,0.10168336486486486,0.03255423648648648,0.08721324662162162
0.20837837837837836,0.10196267567567568,0.03449338513513513,0.08785140540540541
0.22574324324324324,0.10322977027027026,0.03789636655405405,0.08764569932432432
0.2431081081081081,0.10419551351351351,0.04001714864864865,0.08781225675675676
0.26047297297297295,0.10462461148648648,0.041540907094594584,0.08803660810810811
0.27783783783783783,0.1051022972972973,0.044705939189189185,0.08909291891891892
0.2952027027027027,0.10567016554054054,0.0470217972972973,0.08948241891891892
0.31256756756756754,0.10630019594594595,0.04948820945945946,0.0895277027027027
0.3299324324324324,0.10692964189189189,0.05200765878378378,0.08916997297297298
0.3472972972972973,0.10758410810810812,0.05396757432432432,0.08971294594594595
0.36466216216216213,0.10794185472972974,0.0565145304054054,0.09018023648648649
0.382027027027027,0.10883664189189189,0.05959465878378378,0.09082185135135135
0.3993918918918919,0.11098380743243244,0.06136704560810811,0.09082944932432432
0.4167567567567567,0.11199402702702703,0.06338622972972972,0.09084870270270269
0.4341216216216216,0.11310911824324325,0.06645470945945946,0.09119241891891891
0.4514864864864865,0.11351855405405405,0.06849610472972972,0.09162597972972973
0.46885135135135136,0.11415584459459459,0.07143074493243243,0.09194935135135135
0.4862162162162162,0.11527595945945945,0.07410760135135135,0.09224602702702703
0.503581081081081,0.11608165878378379,0.076099875,0.09250788851351352
0.5209459459459459,0.11680963513513513,0.0786687939189189,0.09289923648648649
0.5383108108108108,0.11737838851351351,0.08161959459459459,0.0930320777027027
0.5556756756756757,0.11797681081081081,0.08399425675675676,0.09287100000000001
0.5730405405405405,0.11944781081081082,0.08641192060810812,0.09294184459459459
0.5904054054054054,0.12166783783783784,0.08836465540540542,0.0933536418918919
0.6077702702702703,0.12214196621621622,0.09112884459459461,0.0940664695945946
0.6251351351351351,0.12306378378378378,0.09512020270270269,0.0949308445945946
0.6425,0.124102625,0.097329875,0.09499118749999999
0.6598648648648648,0.12469252702702702,0.09960796959459459,0.0950515304054054
0.6772297297297297,0.12543956081081079,0.10329563682432433,0.09550515371621622
0.6945945945945946,0.1262791081081081,0.10566766891891893,0.09595707432432432
0.7119594594594595,0.1268110168918919,0.10773132770270272,0.09632175
0.7293243243243243,0.1278451891891892,0.11171793918918918,0.09627603378378377
0.7466891891891891,0.12810543581081082,0.11369778209459458,0.09672310810810811
0.764054054054054,0.12884700000000002,0.11600125675675675,0.09722840540540541
0.7814189189189189,0.13102780743243242,0.11932226182432432,0.09689252702702703
0.7987837837837838,0.1317597364864865,0.12167172635135134,0.09688712837837837
0.8161486486486487,0.1324860135135135,0.1243401418918919,0.09754107432432432
0.8335135135135134,0.13378394594594595,0.12837002027027028,0.09764648648648648
0.8508783783783783,0.13475948310810812,0.1302616537162162,0.09778546621621621
0.8682432432432432,0.13605403378378378,0.13265625675675674,0.09814308108108108
0.8856081081081081,0.13655294594594594,0.13651174493243243,0.09866253378378378
0.902972972972973,0.13710333783783785,0.13864670945945945,0.09953816216216216
0.9203378378378378,0.13759402702702703,0.14098103547297297,0.09887081756756758
0.9377027027027027,0.1389396554054054,0.14398436824324326,0.09932404054054055
0.9550675675675675,0.13967271621621621,0.146067625,0.0999588277027027
0.9724324324324324,0.1414698108108108,0.1496201081081081,0.10066452702702702
0.9897972972972973,0.14296029729729728,0.1514537314189189,0.09972595608108108
1.007162162162162,0.14365262837837836,0.15392104391891887,0.10083139864864864
1.024527027027027,0.14433814864864863,0.15749301858108106,0.10145080743243244
1.0418918918918918,0.14533227027027026,0.16020168243243244,0.10196668918918919
1.0592567567567568,0.14609827364864864,0.16183599493243245,0.10206480067567567
1.0766216216216216,0.1469883108108108,0.16545915878378376,0.10221735810810811
1.0939864864864866,0.14753616554054055,0.16839917398648646,0.10273356756756757
1.1113513513513513,0.1481067027027027,0.1703806891891892,0.10325748648648649
1.128716216216216,0.14934843243243243,0.17325006587837838,0.10345869256756757
1.146081081081081,0.1511081891891892,0.17559860135135136,0.10371673648648648
1.1634459459459459,0.15224218243243243,0.17837250337837837,0.1039989527027027
